ref_id,source_name,category,source_type,pillar,maturity_level,asset_class,requirement,evidence_quote,evidence_location,source_url,confidence,extraction_model,extraction_date,status,deprecated_at,deprecated_reason
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,Procure only cryptographic modules validated against FIPS 140-3 by CMVP; exclude modules on the Historical list from procurement decisions.,"Agencies should develop plans for the acquisition of products that are compliant with FIPS 140-3; however, agencies may purchase any of the products on the CMVP validated modules list. (Note: the CMVP Historical list should not be used for procurement decisions.)","Section 12, Implementation Schedule",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,assurance,3,all,"Ensure cryptographic modules employ only Approved security functions as specified in FIPS, NIST SP 800-140C, or NIST SP 800-140D.","Cryptographic modules that conform to this standard shall employ Approved security functions such as cryptographic algorithms, cryptographic key management techniques, and authentication techniques that have been approved for protecting Federal government sensitive information.","Section 10, Approved Security Functions",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Assign a responsible authority within the agency to ensure the security of the system is sufficient and acceptable to the information owner.,The responsible authority in each agency shall ensure that the security of the system is sufficient and acceptable.,"Section 13, Qualifications",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,governance,2,all,Ensure the operator acknowledges and accepts any residual risk associated with the cryptographic module's security provision.,The operator of a cryptographic module is responsible for ensuring that the security provided by a module is sufficient and acceptable to the owner of the information that is being protected and that any residual risk is acknowledged and accepted.,"Section 13, Qualifications",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
FIPS-140-3-STANDARD,FIPS 140-3 — Security Requirements for Cryptographic Modules,Certification Schemes,Standard,lifecycle,2,all,Select the security level for validation based on the specific application environment and security services required.,The security level to which a cryptographic module is validated must be chosen to provide a level of security appropriate for the security requirements of the application and environment in which the module will be utilized and the security services that the module will provide.,"Section 7, Applications",https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,all,Maintain validated cryptographic modules by tracking Component Validation List (CVL) status and ensuring conformance to FIPS 140-3 derived test requirements.,The CMVP validates the test results of National Voluntary Laboratory Accreditation Program (NVLAP) accredited Cryptographic and Security Testing (CST) Laboratories which test cryptographic modules for conformance to Federal Information Processing Standard Publication (FIPS) 140-3,Overview,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,assurance,3,libraries,Validate cryptographic algorithm implementations through the Cryptographic Algorithm Validation Program (CAVP) to ensure approved security functions.,The Cryptographic Algorithm Validation Program (CAVP) addresses the testing of Approved Security Functions and Approved Sensitive Security Parameter Generation and Establishment Methods which are referenced in the SP 800-140 series of FIPS 140-3.,Overview,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Implement error logging for self-tests to detect and record failures in cryptographic module operations and integrity checks.,10.3.D ERROR LOGGING,Table of Contents / Section 10.3.D,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,observability,3,all,Execute periodic self-tests to continuously verify the operational integrity of cryptographic algorithms and module health.,10.3.E PERIODIC SELF-TESTING,Table of Contents / Section 10.3.E,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,medium,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,Certification Schemes,Compliance Framework,lifecycle,3,all,Manage Common Vulnerabilities and Exposures (CVEs) affecting validated cryptographic modules to maintain security posture throughout the module lifecycle.,SECTION 11 – LIFE-CYCLE ASSURANCE ... 11.A CVE MANAGEMENT,Table of Contents / Section 11.A,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,high,mlx-community/Qwen3.6-27B-8bit,2026-08-23,active,,
